,Polarity,UserComments,Polarity_type,Label
245,0.5,icici bank provid good credit card lot offer travel fuel surcharg buy one get one free movi ticket everi month along mani reward point also life time free cardth card conveni use credit card payment bank,Positive,1
252,0.5,glad card got discount electron shop flipkart,Positive,1
256,0.7,redeem reward point year get good statement credit,Positive,1
260,0.35,partner portal like zomato big basket get good reward point per inr spend,Positive,1
261,0.4,got free voucher brand like hush puppi yatra lifestyl payment welcom fee,Positive,1
267,0.4,shop duti free store incred reward bring save cashback,Positive,1
268,0.7,good benefit card help acquir incred cashback reward,Positive,1
271,0.5,love mani reward bonus cashback get sbi card,Positive,1
273,1,perfect card sbi amplifi fuel save,Positive,1
276,1,balanc transfer flexi pay scheme reward prioriti pass membership everyth perfect card,Positive,1
279,0.375,use sbi prime card annual fee chargeabl rupe plu gst year back appli card via bank use card onlin shop got good discount spend card mobil bill payment tata sky payment waiver option fee movi ticket offer one plu one free bookmyshow free airport loung access avail yearli time,Positive,1
281,0.55,reward redempt valu card far best,Positive,1
282,0.516666667,super satiat relianc trend shop done card fetch good reward point,Positive,1
283,0.5,glad sbi reward domest intern travel,Positive,1
286,0.3,shop n smile catalogu sbi divers redeem reward point,Positive,1
287,1,perfect card peopl heavi fuel cost,Positive,1
292,0.458333333,love sbi card bring fine varieti offer reward,Positive,1
293,0.366666667,hdfc bank offer platinum money back credit card sinc salari account got offer life time free card given good credit limit use card purpos like travel book shop bill payment emi option well,Positive,1
294,0.7,fuel refil done valu inr inr got good surcharg waiver,Positive,1
297,0.366666667,use sbi card month got offer bank directli free card given suffici credit limit mostli use shop groceri super market purchas card lot reward point moreov give buy get movi ticket benefit plu get kfc voucher,Positive,1
299,1,perfect card sbi massiv degre fuel save,Positive,1
303,0.9,truli great card scheme amazingli fascin benefit reward best,Positive,1
305,0.416666667,sbi salari account bank close opt credit card even saw featur card get gift voucher lot benefit avail card give cashback petrol like get fuel sur charg waiver time given credit limit fine use card across globe henc use peopl travel countri,Positive,1
307,1,get fab lifestyl reward card best,Positive,1
308,0.6,satiat kind reward come spend done card,Positive,1
310,1,say absolut assur scb ultim card best reward point valu,Positive,1
315,0.3,use icici bank coral credit card year free card get reward point cash back offer offer buy one get one movi ticket given good credit limit apart interest low icici app excel friendli user tele call good get remind wife use shop big basket got discount also,Positive,1
317,1,sbi perfect reward benefit best,Positive,1
318,1,dine offer groceri shop card simpli best,Positive,1
319,1,perfect fuel card perfect fuel save like,Positive,1
320,1,card possibl best reward reward plan,Positive,1
325,0.416666667,suprem happi impress fine varieti reward scheme offer sbi,Positive,1
326,1,best part redeem membership reward point pay card charg,Positive,1
329,0.37,icici best life time free card use card past month sinc friend suggest appli directli bank platinum card credit limit good k emi convers avail charg yet done monthli use card restaur fuel shop get cash back reward point discount also avail,Positive,1
332,0.608333333,great benefici scheme credit card fine varieti reward,Positive,1
333,0.7,like sbi get good deal offer shop onlin offlin,Positive,1
336,0.7,best card peopl enjoy shop onlin offlin,Positive,1
338,0.28125,love major travel lifestyl benefit avail card,Positive,1
339,0.416666667,sbi elit card fab choic fine varieti offer type need like shop travel dine,Positive,1
341,1,perfect card amaz discount deal groceri shop,Positive,1
343,0.5,movi discount travel voucher loung privileg reward point groceri department store deal mani reason love card,Positive,1
344,0.85,like perfect reward credit card good,Positive,1
360,0.45,travel regularli vehicl natur fuel expens huge glad could cut card,Positive,1
361,0.75,cashback deal card best love,Positive,1
364,0.3,got activ bonu reward point worth rs payment join fee,Positive,1
372,0.333333333,super satiat receiv reward bonu lac spend credit card,Positive,1
374,0.7,credit card everi reward point hold valu inr good,Positive,1
381,0.8,definit great card fetch massiv reward mileston spend lac,Positive,1
383,0.3,spend lac sbi gave k worth reward,Positive,1
387,0.4,simpli enjoy shop dine privileg get rubyx card,Positive,1
388,0.4,start use hsbc credit card mostli use shop got reward point st month gone happi credit limit free card mostli prefer zero annual charg card opt get movi ticket offer,Positive,1
389,0.35,use hdfc card year appli via onlin got platinum card credit limit suffici l cash limit k initi provid limit k enhanc limit annual fee charg applic awar amount use card gener onlin shop mani purpos get reward point cash back custom servic easi contact overal good,Positive,1
395,0.5,love credit card fetch array benefit reward,Positive,1
396,0.7,movi dine department store shop get good reward point,Positive,1
397,0.6,use icici bank coral credit card maximum use groceri shop purpos appli card channel emi facil avail rate interest okay good card process annual charg applic get movi offer,Positive,1
398,0.558333333,fine balanc card good movi shop dine offer,Positive,1
399,0.7,get good deal shop flipkart,Positive,1
400,0.4,duti free spend done scb ultim card get cashback,Positive,1
401,0.3,got reward worth bonu spend lac,Positive,1
402,0.7,earn good number reward supermarket groceri,Positive,1
405,1,perfect credit card anyon need save shop travel,Positive,1
406,1,reward benefit system card simpli perfect like,Positive,1
412,0.5,love support appreci reward associ amex card prove,Positive,1
413,0.375,super happi fine reward come way sbi card,Positive,1
423,0.5,love multitud dine shop privileg get credit card,Positive,1
424,0.458333333,credit card fine reward program love,Positive,1
425,0.4,almost spend card get free reward,Positive,1
432,0.516666667,super satiat relianc trend shop done card fetch good reward point,Positive,1
435,0.416666667,happi opt scheme card amaz scheme fine varieti reward,Positive,1
436,0.7,renew sbi card th year good card reward amaz,Positive,1
439,0.6,good reward rate amaz cashback offer far perfect sbi card,Positive,1
440,0.366666667,redeem reward point card easi quick hassl free,Positive,1
441,0.7,hdfc bank offer titanium time credit card use card yearsther annual fee given good credit limit use shop get reward point emi facil avail card get credit card statement email,Positive,1
446,0.7,document process simpl sbi credit card receiv card within week annual charg card rs spend amount annual charg bank given good credit limit start use card fuel purchas system accessori shop payment,Positive,1
448,0.8,turbo point great way reward introduc citi bank card,Positive,1
450,1,valueback benefit fuel simpli best card,Positive,1
451,0.6,love good impress reward cycl card,Positive,1
452,0.333333333,super happi multitud cashback offer reward get sbi,Positive,1
457,0.6,hold simpli save card sbi use almost year life time free card given good credit limit custom servic good respons immedi use travel book flight ticket book shop fuel,Positive,1
466,0.35,complaint absolut regret perfect card pretti amaz reward system,Positive,1
467,0.75,one thing love credit card offer choic differ reward plan perfect,Positive,1
468,1,introductori offer mileston reward reward point everyth card perfect,Positive,1
472,0.45,year im util benefit icici credit card good card use im pay annual fee card basic need chosen card get free movi ticket bonu payback point shop voucher call custom care servic regard statement transact respons good,Positive,1
474,0.3,sbi simpli save card get worth reward point groceri shop,Positive,1
475,0.5,glad shop amex membership reward partner outlet get bonu membership reward point,Positive,1
476,0.85,perfect card wherein get good valu reward,Positive,1
481,1,possibl perfect scheme credit card peopl need massiv fuel cost save,Positive,1
486,0.333333333,annual spend done worth inr lac enjoy reward worth inr,Positive,1
487,0.7,credit card fetch pretti good number reward spend done card,Positive,1
489,1,everi reward point sbi hold valu inr best,Positive,1
492,0.5,love sbi card bring multitud reward cashback,Positive,1
493,0.333333333,super satiat excel reward come way shop done card,Positive,1
494,0.3,reward voucher benefit card worth cost,Positive,1
498,0.298333333,spend worth lac enjoy super high valu reward,Positive,1
499,0.8,got great discount card use fuel payment hpcl,Positive,1
500,0.4,duti free shop get cashback spend done fashion store get cashback,Positive,1
506,0.55,got free club vistara silver membership gave good airlin reward,Positive,1
507,0.9,onlin shop pretti reward reason definit brilliant card,Positive,1
510,1,exclus credit card perfect premium lifestyl,Positive,1
511,-0.25,pay small reward redempt fee could redeem reward sbi,Negative,0
513,0.333333333,super happi afford pocket friendli reward scheme,Positive,1
515,0.5,glad team citi bank help got fab array reward,Positive,1
518,0.35,use hdfc card year appli via onlin got platinum card credit limit suffici l cash limit k initi provid limit k enhanc limit annual fee charg applic awar amount use card gener onlin shop mani purpos get reward point cash back custom servic easi contact overal good,Positive,1
521,0.4,enjoy x reward spend done hotel,Positive,1
526,0.7,perfect credit card multitud free reward voucher,Positive,1
527,0.3,face difficulti far use citi bank credit card use card much one transact far free card fuel benefit airport loung access mostli use shop good got card without delay,Positive,1
528,0.8,reward rate card great great,Positive,1
529,0.416666667,happi fine mix benefit reward get card,Positive,1
531,0.4,use icici card month sinc hold account got pre approv card offer receiv card week life time free credit limit k cash limit near rupe emi convers applic nomin charg use card fuel onlin shop like flipkart amazon henc get good point discount,Positive,1
533,0.7,use sbi credit card appli onlin credit card deliv time credit limit good agent share inform card process clearli chosen shop purpos simpli click card submit document agent,Positive,1
535,0.7,get good number reward transact done card,Positive,1
536,1,genuin feel found perfect shop card card everi time spend amount save,Positive,1
538,1,superb card multitud shop groceri dine movi offer,Positive,1
542,0.4,duti free shop get cashback card,Positive,1
544,-0.3,almost year use hdfc credit card variant hdfc regalia card sinc save account hdfc bank base provid card enhanc limit regular basi base usag life time free credit card im get benefit like cashback reward point use onlin offlin well,Negative,0
547,0.708333333,dont think could gotten perfect card fine varieti cashback,Positive,1
548,0.333333333,super content multitud benefit reward come way card,Positive,1
556,0.333333333,super satiat varieti benefit reward get card,Positive,1
557,0.85,recommend hsbc card perfect shop eat bring good reward,Positive,1
559,1,like reward sbi perfect get x reward dine,Positive,1
560,0.4,movi well onlin shop enjoy discount inr year,Positive,1
561,0.416666667,sbi salari account bank close opt credit card even saw featur card get gift voucher lot benefit avail card give cashback petrol like get fuel sur charg waiver time given credit limit fine use card across globe henc use peopl travel countri,Positive,1
563,0.7,shop done amex membership reward partner outlet get good number reward point,Positive,1
569,0.338888889,taken citi bank reward credit card onlin document simpl execut collect receiv day credit limit fine annual charg depend much spend come free card mostli use card fuel purpos,Positive,1
572,0.7,spend lac card got good valu mileston reward sbi,Positive,1
573,0.3,got addit reward point worth spend lac year,Positive,1
580,0.5,simpli love varieti benefit reward offer credit card bring way,Positive,1
581,0.575,great credit card full multitud lifestyl benefit,Positive,1
582,0.4,shop onlin offlin enjoy mani offer reward cashback card,Positive,1
583,0.4,havent ever seen reward card low cost one great,Positive,1
588,0.5,love credit card amaz benefit cashback airmil reward,Positive,1
590,0.605555556,good card fine mix reward good rang benefit,Positive,1
591,1,wonder perfect card incred discount cashback offer reward,Positive,1
594,0.7,sbi simpli click good card onlin shop get lot reward recommend,Positive,1
596,0.7,like incred reward credit card good,Positive,1
600,0.5,glad sbi simpli save card reward point amaz,Positive,1
602,0.8,everi inr spend get reward point great,Positive,1
612,1,fuel refil get surcharg waiver transact best card,Positive,1
613,0.611111111,super card superb scheme reward love,Positive,1
619,0.45,glad spend guy gave free shop voucher,Positive,1
622,0.7,get good number reward card groceri dine shop etc,Positive,1
631,0.333333333,super happi satiat associ card scheme sbi bring mani travel shop offer,Positive,1
632,0.7,get good reward benefit offer sbi elit card,Positive,1
634,0.416666667,truli admir fine reward benefit privileg amex card,Positive,1
635,0.366666667,sbi good app excel servic use credit card almost year sinc life time free card happi credit limit rs k mostli use travel hotel book shop actual claim reward point year prime card redeem point voucher prioriti pass airport loung access,Positive,1
638,0.7,perfect card peopl enjoy fuel offer,Positive,1
645,1,perfect card fascin offer movi travel shop etc,Positive,1
647,0.7,credit card bring mega save also good varieti reward,Positive,1
652,0.4,reward redempt simpl hassl free card,Positive,1
653,0.622222222,interest cost decent reward good redempt reward credit perfect like,Positive,1
654,0.7,good valu card brought x reward spend done groceri shop,Positive,1
656,0.4,sbi offer good credit limit credit card annual charg sure document simpl upload onin receiv within day simpli save simpli save card reward convert cash back mostli use shop fuel purpos,Positive,1
657,1,reward system reward rate card perfect,Positive,1
662,0.8,great card multitud benefit reward cannot afford miss,Positive,1
663,0.3,got bonu reward point worth within day post activ card,Positive,1
666,0.416666667,impress fine varieti travel offer reward get card,Positive,1
667,1,made use reward point fuel refil best,Positive,1
670,0.42,sinc year use citi bank reward credit card life time free card given credit limit rs use card shop purpos get credit card statement email bank provid good servic rate interest high,Positive,1
671,0.7,dine one partner restaur sbi got good valu reward,Positive,1
672,-0.8,excit spend base reward system credit card,Negative,0
674,0.708333333,fine varieti reward benefit avail card perfect,Positive,1
675,0.3,sbi gave reward point valu k spend worth lac card,Positive,1
676,1,like movi shop offer sbi fascin sbi best,Positive,1
679,0.3,infinit varieti option found shop n smile catalogu reward redempt,Positive,1
680,0.333333333,super impress multitud reward receiv card,Positive,1
681,0.568181818,peopl like live exot lifestyl card perfect pick,Positive,1
683,0.7,comprehens card good benefit reward,Positive,1
686,0.8,shop use reward sbi catalogu great experi,Positive,1
688,0.5,glad sbi divers scheme reward benefit offer,Positive,1
691,0.333333333,super happi incred varieti offer reward come way card,Positive,1
694,0.5,use hdfc bank credit card taken onlin year credit limit good airport loung access discount shop get fuel benefit use card frequent everyth good credit card,Positive,1
697,0.3,happi payment inr got reward worth,Positive,1
698,0.75,voucher sbi simpli fab love sbi perfect reward,Positive,1
705,0.3,got welcom reward worth amex card,Positive,1
708,1,reward benefit even cashback deal card simpli best,Positive,1
712,0.2875,taken sbi credit card shop purpos use past monthth agent share inform card process credit limit good chargeabl card need pay rs yearli basi easi use accept place option convert emi usefulther cash back offer reward point good,Positive,1
714,0.45,use icici bank platinum credit card year given good credit rs l life time free card mostli use card shop groceri fill fuel reward point convert big bazaar card emi facil give good servic,Positive,1
718,0.5,better scheme reward one applic card sbi,Positive,1
719,0.5,glad sbi alway come fascin reward offer,Positive,1
720,0.572222222,definit great card fine scheme reward love,Positive,1
723,0.85,good card fab rang reward perfect,Positive,1
729,0.85,like perfect benefit card brought good deal reward cashback,Positive,1
730,0.9,onlin shop pretti reward reason definit brilliant card,Positive,1
731,1,mmt cashback payment join fee best,Positive,1
732,1,even year card bring perfect varieti reward,Positive,1
733,-0.3,good valu base card plethora reward base spend,Negative,0
735,0.7,sbi simpli click good card onlin shop get lot reward recommend,Positive,1
738,0.3,umpteen varieti reward benefit cashback applic make card worth,Positive,1
739,-0.25,small fee inr charg reward redempt,Negative,0
742,0.3,get mani call sbi unhappi kind servic end though got card keep call insur plan refus annual fee chargeabl rupe waiver option l within year credit limit low offer l got k use card person use shop purpos,Positive,1
743,0.45,perfect card fetch reward point per inr spent telecom servic,Positive,1
746,0.333333333,super content satiat incred offer membership reward card,Positive,1
748,1,sinc massiv fuel expens thought knew would perfect card,Positive,1
756,0.4,duti free shop get cashback card,Positive,1
760,0.333333333,super reliev reward point redeem air mile,Positive,1
762,1,dont think could gotten perfectli reward scheme sbi best,Positive,1
764,0.7,document process simpl sbi credit card receiv card within week annual charg card rs spend amount annual charg bank given good credit limit start use card fuel purchas system accessori shop payment,Positive,1
767,1,superb sbi card perfect peopl want fuel save,Positive,1
769,0.7,onlin shop card save good valu,Positive,1
772,0.7,spend done telecom get good reward card,Positive,1
778,0.85,perfect card amaz reward good cashback offer,Positive,1
780,0.5,glad sbi grant valueback fuel refil done bpcl,Positive,1
781,0.3,got welcom bonu membership reward point redeem travel voucher worth inr,Positive,1
782,0.5,couldnt ask better reward get credit card,Positive,1
786,0.375,super satiat fine mix reward benefit get card,Positive,1
788,0.31547619,smart reward spend fine benefit credit card,Positive,1
790,0.416666667,massiv happi fine fuel save groceri save card brought way,Positive,1
794,0.333333333,super easi conveni redeem reward point airlin book makemytrip,Positive,1
796,0.3,redeem reward shop n smile catalogu gift,Positive,1
798,0.85,perfect card fuel save dine offer good cashback deal,Positive,1
799,-0.25,happi sbi charg small amount reward redempt,Negative,0
804,0.7,sbi offer credit card conveni shoppingonlin payment balanc recharg card good reward point awar credit limit sinc check itth bank send card statement timeth servic bank goodi satisfi card,Positive,1
808,0.4,enjoy fascin system reward benefit sbi incred,Positive,1
810,0.35,like much easier better card made shop,Positive,1
816,0.283333333,save account sbi agent suggest take card henc process fastag came collect document residenti areather offer got reward point redeem credit limit card fine expect get k interest rate normal use card petrol bunk,Positive,1
819,1,sinc alway prefer reward cashback find sbi elit card perfect,Positive,1
822,1,reward point programm card perfect,Positive,1
827,0.3,spend worth inr got reward point,Positive,1
830,0.333333333,year ago taken credit card state bank india regard get offer reward point shop bought simpli save credit card annual fee card custom care respons okay contact custom start english languag convers hindi languag better convers,Positive,1
833,0.379166667,hdfc bank use titanium credit card sinc year life time free card given good credit limit mostli use shop purpos convert reward point cash back custom servic respons fine,Positive,1
834,1,redeem reward point bpcl voucher sbi best,Positive,1
835,0.833333333,perfect card perfect reward benefit love,Positive,1
836,0.3,everi inr spent fuel card earn good number turbo point,Positive,1
842,0.2625,use sbi credit card past month credit limit ok chargeabl card everyth good far movi ticket offer fuel benefit airport loung access like card shop purpos sometim get discount,Positive,1
843,0.5,amex card bag excel elit tier reward love,Positive,1
844,0.333333333,redempt process credit card reward super easi,Positive,1
845,-0.8,perfectli reward base card bring multitud offer,Negative,0
846,-0.8,comprehens complet reward util base card,Negative,0
848,0.85,perfect card fuel save dine offer good cashback deal,Positive,1
851,-0.25,small fee reward redempt inr charg sbi,Negative,0
852,0.458333333,sbi execut collect document credit card process receiv card within day credit limit suffici card annual charg sure mostli use card shop get reward point app fine lot peopl contact card protect plan dont likethi card airport loung benefit,Positive,1
858,0.5,glad save reward valid month,Positive,1
861,0.8,happi airlin book get great air mile reward,Positive,1
863,0.466666667,super satiat kind benefit reward repeatedli come way prime card,Positive,1
864,0.35,card full reward everi inr spend save reward point,Positive,1
866,0.708333333,perfect card fine mix benefit deal cashback offer,Positive,1
870,1,perfect lifestyl travel card given multitud benefit,Positive,1
872,0.416666667,impress fine benefit card varieti reward offer cashback,Positive,1
878,0.366666667,redempt accru reward point easi hassl free quick,Positive,1
880,0.558333333,good valu card fine rang reward shop onlin,Positive,1
883,0.4,reward earn rate card good total love credit card,Positive,1
884,0.35,hdfc custom care servic good use resolv issu immedi use card year hold money back card henc convert reward point cash sometim use reward point directli purchas product partner websit avail hdfc websit,Positive,1
890,0.383333333,want redeem reward point charg higher interest rate citi bank indian oil card convert point fuel best part card got credit limit rs even though im hold card issu face card flexibl pay yearli charg spent rs year annual fee get waiv,Positive,1
897,1,facil reward cashback offer card best,Positive,1
901,0.333333333,love top class reward point program american express card,Positive,1
903,1,like credit card best suit dine shop fuel purchas,Positive,1
906,0.4,enjoy surcharg waiver fuel refil bpcl,Positive,1
907,0.4,amex offer free membership reward card lifetim happi,Positive,1
909,0.416666667,fine reward receiv spend done card,Positive,1
911,0.48,assur fact great card pretti high reward,Positive,1
913,0.3,reward redempt fee inr paid acclaim reward worth accru card,Positive,1
916,0.4,best part hdfc credit card credit limit use increas fast rate offer also goodth agent came collect document got card short time use card shoppingon line paymentfuel surcharg groceri use card money transfer purpos,Positive,1
917,0.7,use accru reward sbi card get good excit gift gift catalogu,Positive,1
919,0.408333333,face issu use sbi credit card credit limit rs less expect limit lakh would good increas limit life time free card discount shop everyth good,Positive,1
921,0.5,everi inr spend card get reward point love,Positive,1
923,0.4,duti free spend done card get cashback,Positive,1
924,0.3,perfect valu base card wherein save good deal reward shop done card,Positive,1
930,0.55,use sbi credit card three month reward point offer card use card onlin shop fuel surcharg groceriesth credit limit card suffici like card life time free card good use,Positive,1
933,0.3,credit card bag inr worth reward paid join fee,Positive,1
938,-0.25,small charg reward redempt card,Negative,0
940,0.5,love credit card incred reward,Positive,1
941,-0.35,use sbi style card past year credit limit suffici l around cash limit k card use shop book railway ticket base get point cash back annual fee chargeabl rupe option waiver,Negative,0
945,0.7,everi year good degre save shop fuel dine card,Positive,1
946,0.416666667,bank could bring fine varieti reward offer thank sbi,Positive,1
947,0.5,glad hsbc offer plethora reward card,Positive,1
954,0.263888889,sbi definit better bank other especi term fine varieti reward cashback,Positive,1
961,0.7,shop thing department store get good varieti reward,Positive,1
971,1,perfect card impress umpteen way redeem reward point,Positive,1
976,0.4,easi hassl free redeem reward point shop gift,Positive,1
977,0.7,impress good rang dine travel shop reward sbi elit card,Positive,1
978,0.516666667,super satiat card spend done hotel book got good reward card,Positive,1
979,0.35,shop onlin movi enjoy voucher worth everi year card,Positive,1
982,0.516666667,super satiat card sbi bring good valu reward,Positive,1
985,0.7,happi railway ticket book card fetch good reward point,Positive,1
987,0.48,happi high reward rate card great,Positive,1
990,0.7,definit good card scheme good reward incred cashback offer,Positive,1
993,0.5,sbi gift catalogu definit amaz varieti gift love save point shop,Positive,1
996,0.416666667,happi satiat fine mix benefit reward applic card,Positive,1
999,0.338888889,taken citi bank reward credit card onlin document simpl execut collect receiv day credit limit fine annual charg depend much spend come free card mostli use card fuel purpos,Positive,1
1004,0.3,perfect valu base card wherein save good deal reward shop done card,Positive,1
1006,0.65,best thing want convey must start use card within nineti day date issu earn rs worth cashback makemytrip,Positive,1
1008,1,card perfect justic sbi come offer reward,Positive,1
1009,0.35,made full use reward point shop catalogu sbi,Positive,1
1010,0.4,total recommend card sbi bring great varieti reward groceri shop,Positive,1
1014,0.516666667,sbi elit card good super reward offer,Positive,1
1015,0.7,shop done amex membership reward partner outlet get good number reward point,Positive,1
1016,0.458333333,realli love card fine mix benefit reward,Positive,1
1018,0.75,like reward keep get better everi pass year sbi best,Positive,1
1019,0.416666667,happi content array fine varieti benefit reward,Positive,1
1022,0.3,everi transact worth valu inr get reward point,Positive,1
1026,0.4,duti free store locat mumbai chennai kolkata airport get cashback spend,Positive,1
